"Gene","GO_consortium","AnyGenes","JacksonLabs"
"QRICH1","Yes","No","Yes"
"SLC1A4","No","Yes","No"
"ABCA7","No","No","Yes"
"ATAD3A","Yes","No","No"
"SLC35A4","No","Yes","No"
"AGR2","No","No","Yes"
"GCN1","Yes","Yes","Yes"
"SLC3A2","No","Yes","No"
"DELE1","Yes","No","Yes"
"SLC7A11","No","Yes","No"
"ATF4","Yes","Yes","Yes"
"HERC5","Yes","No","No"
"SLC7A5","No","Yes","No"
"ARIH1","Yes","No","No"
"NARS1","No","Yes","No"
"RPAP2","Yes","No","Yes"
"APAF1","No","Yes","No"
"BATF2","Yes","No","No"
"BBC3","No","Yes","No"
"EIF2S1","Yes","Yes","Yes"
"BCL2","No","Yes","No"
"BATF3","Yes","No","No"
"BIRC2","No","Yes","No"
"BOK","No","No","Yes"
"OMA1","Yes","No","Yes"
"BIRC3","No","Yes","No"
"EIF2AK1","Yes","Yes","Yes"
"BIRC5","No","Yes","No"
"IMPACT","Yes","No","Yes"
"ATG3","No","Yes","No"
"NFE2","Yes","No","No"
"ATG5","No","Yes","No"
"NFE2L3","Yes","No","No"
"ATG7","No","Yes","No"
"CREBZF","Yes","No","No"
"GABARAP","No","Yes","No"
"EIF2AK4","Yes","Yes","Yes"
"GABARAPL2","No","Yes","No"
"CEBPE","Yes","No","No"
"NBR1","No","Yes","No"
"EIF2AK3","Yes","Yes","Yes"
"FOSL1","Yes","No","No"
"SQSTM1","No","Yes","No"
"FOS","Yes","Yes","No"
"ASNS","No","Yes","No"
"CREB3","Yes","No","No"
"BECN1","No","Yes","No"
"NFE2L2","Yes","Yes","Yes"
"EIF2AK2","No","Yes","No"
"JUN","Yes","No","No"
"MAP3K20","Yes","No","Yes"
"BATF","Yes","No","No"
"MAF","Yes","No","No"
"CEBPD","Yes","No","No"
"MAP1LC3A","No","Yes","No"
"LIG4","Yes","No","No"
"SLC38A2","No","Yes","No"
"DDB1","No","Yes","No"
"IRGM","No","No","Yes"
"CEBPG","Yes","Yes","No"
"DDB2","No","Yes","No"
"CEBPB","Yes","Yes","No"
"DDIT4","No","Yes","No"
"JUNB","Yes","No","No"
"ATF6","No","Yes","No"
"TMED2","Yes","No","Yes"
"HSPA5","No","Yes","No"
"CEBPA","Yes","No","No"
"NCK1","No","No","Yes"
"DDIT3","Yes","Yes","No"
"PIK3CA","No","Yes","No"
"MAFB","Yes","No","No"
"AKT1","No","Yes","No"
"IBTK","No","Yes","No"
"NCK2","No","No","Yes"
"MTOR","No","Yes","No"
"ACTG1","No","Yes","No"
"EIF2B1","No","Yes","No"
"EIF2S3","No","Yes","No"
"PPP1CA","No","Yes","No"
"RPL7","No","Yes","No"
"PTPN1","No","No","Yes"
"SESN2","No","Yes","No"
"WARS1","No","Yes","No"
"BCL2L11","No","Yes","No"
"PTPN2","No","No","Yes"
"ERN1","No","Yes","No"
"ERO1A","No","Yes","No"
"PPP1R15A","No","Yes","No"
"PPP1R15B","No","Yes","No"
"TRIB3","No","Yes","No"
"XBP1","No","Yes","No"
"TMEM33","No","No","Yes"
"ERCC1","No","Yes","No"
"ERCC2","No","Yes","No"
"ERCC3","No","Yes","No"
"GADD45A","No","Yes","No"
"BNIP3L","No","Yes","No"
"ATF3","No","Yes","No"
"ATF5","No","Yes","No"
"CBX4","No","Yes","No"
"EGLN2","No","Yes","No"
"EGLN3","No","Yes","No"
"LMO4","No","Yes","No"
"NFKB1","No","Yes","No"
"TFE3","No","Yes","No"
"TFEB","No","Yes","No"
"TXNIP","No","Yes","No"
"BIRC7","No","Yes","No"
"NAIP","No","Yes","No"
"NUPR1","No","Yes","No"
"PMAIP1","No","Yes","No"
"SIAH1","No","Yes","No"
"SIAH2","No","Yes","No"
"TNFRSF10B","No","Yes","No"
"XIAP","No","Yes","No"
"ATG10","No","Yes","No"
"ATG12","No","Yes","No"
"ATG16L1","No","Yes","No"
